date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2012-10-05,146.91,147.16,145.7,146.14,124842100.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-10-08,145.6,146.1231,145.31,145.642,78415600.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-09,145.53,145.65,144.15,144.2,148872800.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-10,144.18,144.32,143.09,143.28,124247400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-10-11,144.28,144.49,143.327,143.36,123601400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-10-12,143.46,143.95,142.58,142.89,124181900.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-10-15,143.23,144.23,142.77,144.08,107689100.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-16,144.76,145.64,144.66,145.54,108815400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-17,145.64,146.32,145.42,146.2,128834100.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-10-18,145.82,146.52,145.33,145.82,148108400.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-19,145.55,145.56,143.05,143.3896,185645100.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-10-22,143.15,143.67,142.28,143.41,125578600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-10-23,141.86,142.06,140.83,141.42,192056300.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-10-24,141.93,142.1,140.8,141.02,120179300.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-25,142.02,142.28,140.57,141.43,134457300.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-10-26,141.3,141.84,140.39,141.35,146023400.0,0.0,1.0,0.11,5,1.5060324957572035e-05
2012-10-31,141.85,142.03,140.68,141.35,103438500.0,0.0,1.0,0.14,1,3.83294135586354e-06
2012-11-01,141.65,143.01,141.52,142.83,100995600.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-11-02,143.68,143.72,141.41,141.56,137702100.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-11-05,141.35,142.17,140.93,141.8486,98378400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-11-06,142.28,143.52,142.13,142.96,107068100.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-11-07,141.66,141.68,139.06,139.72,264304400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-08,139.7,140.41,137.93,138.04,181517200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-09,137.62,139.44,137.55,138.16,201055200.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-11-12,138.59,138.81,137.96,138.265,97677400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-11-13,137.54,139.25,137.36,137.79,123018200.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-11-14,138.21,138.43,135.62,135.9299,191504900.0,0.0,1.0,0.11,1,3.0120468466066086e-06
2012-11-15,135.98,136.4901,135.18,135.7,178128400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-16,135.9,136.64,134.7,136.37,239483800.0,0.0,1.0,0.08,3,6.572735330889756e-06
2012-11-19,137.9,139.15,136.4057,139.13,151495700.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2012-11-20,138.91,139.42,138.08,139.19,119807400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-11-21,139.31,139.57,139.03,139.45,81710700.0,0.0,1.0,0.08,2,4.38181875384025e-06
2012-11-23,140.13,141.4,140.04,141.35,65409100.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-11-26,140.65,141.3563,140.19,141.05,100124300.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-27,140.91,141.39,140.24,140.33,128646200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-28,139.76,141.54,139.0,141.46,177086400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-29,141.99,142.51,141.37,142.12,151085900.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-11-30,142.14,142.42,141.66,142.155,136568300.0,0.0,1.0,0.09,3,7.393960838042446e-06
2012-12-03,142.8,142.92,141.34,141.45,124656300.0,0.0,1.0,0.08,1,2.190906976951013e-06
2012-12-04,141.44,141.87,140.87,141.25,127622500.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-12-05,141.37,142.16,140.37,141.5,147300400.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-12-06,141.37,142.04,141.16,141.98,103220600.0,0.0,1.0,0.1,1,2.7383608263154e-06
2012-12-07,142.53,142.69,141.67,142.415,108726300.0,0.0,1.0,0.1,3,8.21510497450717e-06
2012-12-10,142.21,142.81,142.15,142.473,98840700.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-12-11,143.06,144.11,142.99,143.44,152570400.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-12-12,144.0,144.55,143.31,143.51,145880000.0,0.0,1.0,0.08,1,2.190906976951013e-06
2012-12-13,143.42,143.83,142.275,142.63,135714900.0,0.0,1.0,0.07,1,1.917139136997648e-06
2012-12-14,142.32,142.58,141.88,142.1051,137701700.0,0.0,1.0,0.06,3,4.930040141459813e-06
2012-12-17,142.47,143.85,142.43,143.77,143735700.0,0.0,1.0,0.04,1,1.0956718916599328e-06
2012-12-18,144.0,145.5,143.79,145.37,177762700.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2012-12-19,145.53,145.58,144.24,144.29,150895300.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2012-12-20,144.38,145.14,143.98,145.12,168486900.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2012-12-21,142.17,144.0881,141.94,142.79,245883800.0,1.02183,1.0,0.06,3,4.930040141459813e-06
2012-12-24,142.48,142.56,142.19,142.35,53874500.0,0.0,1.0,0.06,2,3.286690726911345e-06
2012-12-26,142.64,142.71,141.35,141.75,106947700.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2012-12-27,141.79,142.08,139.92,141.5616,167920600.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2012-12-28,140.64,141.42,139.87,140.03,148806600.0,0.0,1.0,0.08,3,6.572735330889756e-06
2012-12-31,139.66,142.56,139.54,142.41,243952200.0,0.0,1.0,0.01,2,5.479179601142192e-07
2013-01-02,145.11,146.15,144.73,146.06,192058900.0,0.0,1.0,0.05,1,1.3695215999032229e-06
2013-01-03,145.99,146.37,145.34,145.7341,144761700.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-04,145.97,146.61,145.67,146.37,116817700.0,0.0,1.0,0.08,3,6.572735330889756e-06
2013-01-07,145.85,146.4442,145.43,145.9695,110002400.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-08,145.71,145.91,144.98,145.5496,121265100.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-09,145.87,146.32,145.64,145.92,90745600.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-10,146.73,147.09,145.97,147.08,130735400.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2013-01-11,147.04,147.15,146.61,147.07,113917300.0,0.0,1.0,0.06,3,4.930040141459813e-06
2013-01-14,146.89,147.07,146.43,146.97,89567100.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-15,146.29,147.21,146.2,147.07,93172600.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-16,146.77,147.28,146.61,147.05,104849500.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2013-01-17,147.7,148.42,147.1446,148.0,133833400.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-18,147.97,148.49,147.43,148.33,169905900.0,0.0,1.0,0.07,4,7.668578601016662e-06
2013-01-22,148.33,149.13,147.98,149.13,111797300.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-23,149.13,149.5,148.86,149.37,104596100.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-24,149.15,150.14,149.01,149.41,146426300.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-25,149.88,150.25,149.3726,150.25,147211600.0,0.0,1.0,0.08,3,6.572735330889756e-06
2013-01-28,150.29,150.33,149.51,150.07,113357600.0,0.0,1.0,0.08,1,2.190906976951013e-06
2013-01-29,149.77,150.85,149.67,150.66,105694400.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-30,150.64,150.94,149.93,150.07,137447600.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-01-31,149.89,150.38,149.6,149.7,108975800.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-02-01,150.65,151.42,150.39,151.24,131173000.0,0.0,1.0,0.07,3,5.751428437505979e-06
2013-02-04,150.32,151.2679,149.43,149.535,159073600.0,0.0,1.0,0.06,1,1.6433440133134525e-06
2013-02-05,150.35,151.48,150.29,151.05,113912300.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-02-06,150.52,151.26,150.41,151.16,138762700.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-02-07,151.205,151.35,149.86,150.96,162490000.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-02-08,151.22,151.89,151.22,151.8,103133700.0,0.0,1.0,0.07,3,5.751428437505979e-06
2013-02-11,151.74,151.9,151.3938,151.77,73774900.0,0.0,1.0,0.07,1,1.917139136997648e-06
2013-02-12,151.78,152.3,151.61,152.02,65392600.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2013-02-13,152.33,152.61,151.72,152.151,82322600.0,0.0,1.0,0.09,1,2.4646475380585287e-06
2013-02-14,151.69,152.47,151.52,152.29,80834200.0,0.0,1.0,0.1,1,2.7383608263154e-06
2013-02-15,152.43,152.59,151.55,152.11,215226400.0,0.0,1.0,0.11,4,1.204824182110542e-05
