date,open,high,low,close,volume,dividend_amount,split_factor,DGS3MO,calendar_days_to_next,cash_return_to_next
2022-02-22,431.89,435.5,425.86,429.57,122145129,0.0,1.0,0.35,1,9.572345141428684e-06
2022-02-23,432.66,433.26,421.35,421.95,132578005,0.0,1.0,0.37,1,1.0118330197039782e-05
2022-02-24,411.02,428.76,410.64,428.3,213942946,0.0,1.0,0.34,1,9.299311917843056e-06
2022-02-25,429.61,437.84,427.86,437.75,121804459,0.0,1.0,0.32,3,2.625972201220073e-05
2022-02-28,432.03,438.2,430.7,436.63,145615029,0.0,1.0,0.33,1,9.026251556631948e-06
2022-03-01,435.04,437.17,427.11,429.98,137785908,0.0,1.0,0.35,1,9.572345141428684e-06
2022-03-02,432.37,439.72,431.57,437.89,117726525,0.0,1.0,0.32,1,8.753164052688334e-06
2022-03-03,440.47,441.11,433.8,435.71,105501715,0.0,1.0,0.34,1,9.299311917843056e-06
2022-03-04,431.75,433.37,427.88,432.17,114083256,0.0,1.0,0.38,3,3.11741700580459e-05
2022-03-07,431.55,432.3018,419.36,419.43,137896560,0.0,1.0,0.34,1,9.299311917843056e-06
2022-03-08,419.62,427.21,415.12,416.25,164772744,0.0,1.0,0.38,1,1.0391282040167482e-05
2022-03-09,425.14,429.51,422.82,427.41,116990765,0.0,1.0,0.36,1,9.845351232717904e-06
2022-03-10,422.52,426.43,420.44,425.48,93972655,0.0,1.0,0.38,1,1.0391282040167482e-05
2022-03-11,428.12,428.77,419.53,420.07,95636277,0.0,1.0,0.39,3,3.199296147893271e-05
2022-03-14,420.89,424.55,415.79,417.0,95729188,0.0,1.0,0.4,1,1.0937104383712535e-05
2022-03-15,419.77,426.84,418.42,426.17,106219117,0.0,1.0,0.45,1,1.230118599560015e-05
2022-03-16,429.89,435.68,424.8,435.62,144954805,0.0,1.0,0.46,1,1.2573921061465043e-05
2022-03-17,433.59,441.07,433.19,441.07,102676870,0.0,1.0,0.44,1,1.2028423851395686e-05
2022-03-18,438.0,444.86,437.22,444.52,102665985,1.366009,1.0,0.4,3,3.281167201341084e-05
2022-03-21,444.34,446.46,440.68,444.39,87350111,0.0,1.0,0.42,1,1.148281830642972e-05
2022-03-22,445.86,450.58,445.86,449.59,73464881,0.0,1.0,0.54,1,1.4754827416751937e-05
2022-03-23,446.91,448.49,443.71,443.8,79426098,0.0,1.0,0.51,1,1.3937190405544088e-05
2022-03-24,445.94,450.5,444.76,450.49,64736892,0.0,1.0,0.5,1,1.366459065010872e-05
2022-03-25,451.16,452.98,448.43,452.69,76123606,0.0,1.0,0.52,3,4.262989509906667e-05
2022-03-28,452.06,455.91,450.06,455.91,68529767,0.0,1.0,0.55,1,1.5027319020255447e-05
2022-03-29,460.02,462.07,457.18,461.55,86581542,0.0,1.0,0.59,1,1.6117015242400612e-05
2022-03-30,460.34,461.195,456.465,458.7,79666942,0.0,1.0,0.55,1,1.5027319020255447e-05
2022-03-31,457.89,458.76,451.16,451.64,121699948,0.0,1.0,0.55,1,1.5027319020255447e-05
2022-04-01,453.31,453.46,449.14,452.92,89048773,0.0,1.0,0.52,3,4.262989509906667e-05
2022-04-04,453.13,456.91,452.26,456.8,59601000,0.0,1.0,0.53,1,1.448230878331458e-05
2022-04-05,455.22,457.83,449.82,451.03,72741037,0.0,1.0,0.66,1,1.802294421993089e-05
2022-04-06,446.89,448.93,443.47,446.52,106897970,0.0,1.0,0.65,1,1.7750749591316506e-05
2022-04-07,445.59,450.69,443.53,448.77,78097214,0.0,1.0,0.67,1,1.8295111883004367e-05
2022-04-08,447.97,450.63,445.94,447.57,79272711,0.0,1.0,0.68,3,5.570279199251793e-05
2022-04-11,444.11,445.0,439.39,439.92,89770538,0.0,1.0,0.7,1,1.911145313227003e-05
2022-04-12,443.08,445.75,436.6501,438.29,84363635,0.0,1.0,0.77,1,2.101530658338291e-05
2022-04-13,438.03,444.11,437.84,443.31,74070394,0.0,1.0,0.74,1,2.019953093768123e-05
2022-04-14,443.55,444.7301,437.68,437.79,97869451,0.0,1.0,0.75,4,8.188844679857255e-05
2022-04-18,436.81,439.75,435.61,437.97,66002498,0.0,1.0,0.79,1,2.1559022471029365e-05
2022-04-19,437.86,445.8,437.68,445.04,77821013,0.0,1.0,0.81,1,2.2102630773845888e-05
2022-04-20,446.92,447.57,443.48,444.71,64140001,0.0,1.0,0.81,1,2.2102630773845888e-05
2022-04-21,448.54,450.01,437.1,438.06,85417327,0.0,1.0,0.82,1,2.2374394594626423e-05
2022-04-22,436.91,438.0825,425.44,426.04,132471772,0.0,1.0,0.83,3,6.793993315823421e-05
2022-04-25,423.67,428.69,418.84,428.51,119647748,0.0,1.0,0.83,1,2.264613153490913e-05
2022-04-26,425.83,426.04,416.07,416.1,100647304,0.0,1.0,0.91,1,2.4819060010727867e-05
2022-04-27,417.24,422.92,415.01,417.27,122029990,0.0,1.0,0.83,1,2.264613153490913e-05
2022-04-28,422.29,429.64,417.6,427.81,105449088,0.0,1.0,0.82,1,2.2374394594626423e-05
2022-04-29,423.59,425.87,411.21,412.0,145491088,0.0,1.0,0.82,3,6.71246856354113e-05
2022-05-02,412.07,415.92,405.02,414.48,158312526,0.0,1.0,0.85,1,2.3189524796407568e-05
2022-05-03,415.01,418.93,413.36,416.38,100028190,0.0,1.0,0.9,1,2.454753792013875e-05
2022-05-04,417.08,429.66,413.7099,429.06,141106960,0.0,1.0,0.91,1,2.4819060010727867e-05
2022-05-05,424.55,425.0,409.44,413.81,172929106,0.0,1.0,0.89,1,2.4275988991906416e-05
2022-05-06,411.1,414.8,405.73,411.34,151770811,0.0,1.0,0.85,3,6.95701876642918e-05
2022-05-09,405.1,406.41,396.5,398.17,155586067,0.0,1.0,0.85,1,2.3189524796407568e-05
2022-05-10,404.49,406.08,394.82,399.09,132497200,0.0,1.0,0.92,1,2.5090555269002834e-05
2022-05-11,398.07,404.04,391.96,392.75,142360992,0.0,1.0,0.89,1,2.4275988991906416e-05
2022-05-12,389.37,395.8,385.15,392.34,125090753,0.0,1.0,0.91,1,2.4819060010727867e-05
2022-05-13,396.71,403.18,395.61,401.72,104174421,0.0,1.0,0.96,3,7.853085986453401e-05
2022-05-16,399.98,403.97,397.6,400.09,78622444,0.0,1.0,1.03,1,2.8075233695190605e-05
2022-05-17,406.53,408.57,402.5824,408.32,83029710,0.0,1.0,1.07,1,2.915976787343233e-05
2022-05-18,403.5,403.8,390.55,391.86,117674545,0.0,1.0,1.06,1,2.8888674463267705e-05
2022-05-19,388.62,394.14,387.11,389.46,98510715,0.0,1.0,1.03,1,2.8075233695190605e-05
2022-05-20,393.25,397.03,380.54,389.63,131432197,0.0,1.0,1.05,3,8.585511981817895e-05
2022-05-23,392.83,397.73,390.38,396.92,76414878,0.0,1.0,1.03,1,2.8075233695190605e-05
2022-05-24,392.56,395.15,386.96,393.89,91448831,0.0,1.0,1.07,1,2.915976787343233e-05
2022-05-25,392.31,399.45,391.89,397.37,91472866,0.0,1.0,1.06,1,2.8888674463267705e-05
2022-05-26,398.67,407.04,398.45,405.31,82168339,0.0,1.0,1.06,1,2.8888674463267705e-05
2022-05-27,407.91,415.3801,407.7,415.26,84768710,0.0,1.0,1.07,4,0.0001166441733448
2022-05-31,413.55,416.46,410.03,412.93,95936980,0.0,1.0,1.08,1,2.94308345358818e-05
2022-06-01,415.17,416.24,406.93,409.59,86585813,0.0,1.0,1.16,1,3.159840555788662e-05
2022-06-02,409.42,417.44,407.04,417.39,79609633,0.0,1.0,1.15,1,3.132755268575593e-05
2022-06-03,412.4,414.04,409.51,410.54,71874281,0.0,1.0,1.17,3,9.56107421667962e-05
2022-06-06,414.78,416.609,410.5523,411.79,57508858,0.0,1.0,1.21,1,3.29522695243778e-05
2022-06-07,408.1,416.22,407.61,415.74,59272373,0.0,1.0,1.26,1,3.430546664828782e-05
2022-06-08,413.93,415.82,410.38,411.22,64349966,0.0,1.0,1.26,1,3.430546664828782e-05
2022-06-09,409.34,411.74,401.44,401.44,86289796,0.0,1.0,1.28,1,3.484655892926902e-05
2022-06-10,394.88,395.7777,389.75,389.8,132893864,0.0,1.0,1.3,3,0.0001061663908679
2022-06-13,379.85,381.81,373.3,375.0,170004861,0.0,1.0,1.39,1,3.782066306379228e-05
2022-06-14,376.85,377.94,370.59,373.87,104011831,0.0,1.0,1.73,1,4.6993046104448766e-05
2022-06-15,377.36,383.9,372.12,379.2,125666797,0.0,1.0,1.83,1,4.968498821833478e-05
2022-06-16,370.51,370.94,364.0799,366.65,134473288,0.0,1.0,1.74,1,4.726235903973475e-05
2022-06-17,365.51,369.38,362.17,365.86,111113904,1.576871,1.0,1.59,4,0.0001728907698084
2022-06-21,371.89,376.525,371.81,375.07,76811861,0.0,1.0,1.63,1,4.4298463782510566e-05
2022-06-22,370.62,378.72,370.18,374.39,90059424,0.0,1.0,1.7,1,4.6184948865768405e-05
